AT	V	AP	RH	PE
20.52	43.79	1015.9	68.1	463.93
13.58	49.83	1008.9	86.8	465.82
14.38	44.84	1024.59	81.68	471.6
28.53	69.84	1004.46	68.03	427.72
13.89	35.71	1016.4	65.49	468.54
25.93	69.34	1008.91	79.43	434.08
17.84	61.27	1020.1	70.68	454.57
6.28	41.06	1020.96	90.91	489.79
8.16	39.64	1011.21	85.56	481.78
18.61	67.71	1004.07	84.49	443.57
16.23	43.72	1009.96	83.01	457.9
8.66	41.01	1022.51	98.55	472.16
19.53	66.54	1013.72	81.46	451.19
10.17	40.46	1018.54	68.21	470.33
6.48	40.27	1010.55	82.12	486.68
12.69	40.75	1016.05	82.92	472.68
23.77	61.87	1009.8	54.83	445.72
14.43	43.5	1021.86	83.14	466.58
28.25	57.19	1007.99	67.9	436.99
12.26	39.96	1011.79	79.06	470.87
14.55	42.74	1027.29	66.64	457.77
24.57	51.95	1005.8	70.07	448.15
10.25	41.26	1007.44	98.08	476.03
21.96	51.43	1007.28	89.96	442.87
9.82	39.64	1010.79	69.22	477.93
18.58	44.6	1016.61	48.15	459.06
20.57	44.9	1008.39	62.69	456.18
8.61	41.04	1024.81	95.6	473.62
9.99	43.52	1022.95	99.67	473.64
13.97	52.05	1012.05	85.36	463.64
16.76	43.67	1011.27	70.55	462.44
25.58	47.01	1014.5	63.53	454.39
17.34	46.48	1007.18	83.15	452.06
19.13	66.86	1012.95	71.24	453.31
12.75	40.64	1020.44	83.17	466.93
29.46	49.3	1003.88	54.1	436.37
15.59	52.75	1024.3	59.93	458.87
14.2	43.02	1012.18	57.07	470.67
14.05	40.35	1011.52	66.21	475.54
32.35	77.95	1014.76	60.88	432.72
21.41	56.9	1007.03	79.41	441.41
10.61	37.5	1008.8	100.13	472.9
19.13	40.79	1004.47	91.7	457.83
17.28	44.06	1018.15	66.93	462.05
24.79	50.78	1008.78	61.88	445.3
28.66	50.05	1006.08	47.74	435.94
12.91	41.16	1011.9	89.19	472.71
17.32	43.7	1015.13	61.66	464.5
18.74	59.21	1018.3	91.55	449.77
26.69	70.36	1006.82	68.29	435.04
12.28	40.55	1005.72	98.56	472.47
14.46	44.78	1007.64	67.03	459.31
30.54	70.17	999.42	64.32	434.62
27.58	66.48	1004.82	51.23	435.34
32.17	73.21	1001.43	69.86	430.64
26.23	59.87	1012.93	66.62	447.16
11.69	35.76	1019.02	55.6	471.72
14.73	39.82	1012.67	80.82	470.41
12.36	48.04	1012.8	93.59	468.37
9.52	40.96	1023.48	86.49	483.59
27.32	73.42	1012.07	86.3	432.74
23.81	73.17	1012.13	86.13	438.11
7.92	42.28	1008.55	81.68	484.75
23.58	58.82	1009.68	81.38	445.01
20.78	60.84	1018.66	80.4	445.82
19.68	68.28	1002.62	71.57	452.47
14.12	40.92	1022.46	73.28	459.76
22.97	62.4	1010.25	75.18	445.3
6.89	39.37	1020.21	74.17	486.9
19.98	56.53	1020.22	73.53	454.89
21.71	60.27	1015.74	89.76	441.19
23.02	59.21	1011.74	83.18	440.5
27.71	69.51	1009.65	58.38	435.04
10.46	37.5	1013.12	76.74	472.16
27.18	62.66	1009.89	52.83	442.16
25.56	50.05	1005.67	69.29	442.49
19.69	39.72	1001.49	60.34	456.55
31.37	76.86	997.34	62.94	431.03
14.17	41.67	1013.4	72.77	471.42
15.6	43.71	1024.88	80.37	463.34
25.3	71.58	1010.18	87.36	433.97
7.09	39.37	1020.07	73.26	487
6.07	41.14	1027.57	86.98	480.19
9.86	38.38	1018.22	85.35	479.56
14.73	40.35	1011.15	65.2	470.03
31.32	74.33	1012.92	36.48	429.57
6.14	38.5	1012.4	75.35	489.26
27.92	69.23	1013.21	44.43	435.62
25.63	58.86	1014.86	52.75	443.84
16.37	36.99	1006.37	90.11	463.76
28.31	65.71	1014.67	59.29	447.26
24.44	69.84	1005.34	80.37	430.3
11.33	41.5	1013.58	88.7	475.01
23.87	63.94	1019.02	44.28	445.11
21.14	48.78	1020.39	86.2	450.35
22.24	60.07	1015.93	62.25	446.14
23.07	70.47	1008.64	83.37	439.04
25.95	59.14	1016.42	67.03	438.46
16.44	43.96	1013.66	76.31	468.57
20.66	41.54	1014.68	79.7	461.55
15.01	39.52	1017.53	72	468.02
20.51	63.86	1020.65	75.36	447.18
24.1	52.84	1006.47	47.58	444.69
9.38	40.46	1019.29	75.77	474.1
27.49	71.94	1008.25	68.29	428.27
32.84	68.14	1003.59	43.88	425.18
20.83	44.78	1008.51	35.9	460.6
28.69	67.25	1017.71	44.6	436.21
9.35	44.03	1011.02	88.11	476.25
17.37	41.23	998.79	68.44	461.08
14.84	41.48	1017.26	63.42	460.3
27.88	68.94	1007.68	75.68	435.04
17.83	43.72	1008.64	78.72	453.86
7.64	42.28	1008.46	84.29	484.78
25.67	74.78	1010.24	68.87	440.48
23.1	51.3	1011.93	80.05	452.17
27.13	69.45	1013.9	51.16	434.47
26.95	70.8	1009.73	82.95	436.8
19.4	42.44	1013.19	58.63	459.76
13.5	44.92	1023.87	87.17	468.85
11.97	41.04	1026.42	70.75	468.81
18.11	58.95	1016.61	89.17	454.29
24.1	71.29	1007.96	67.56	442.8
20.29	65.27	1013.17	74.94	445.52
21.82	65.27	1013.86	72.81	447.43
29.45	75.6	1018.12	50.68	437.31
10.87	38.38	1020.85	69.78	477.03
17.36	39.53	1008.28	68.87	456.57
24.97	58.95	1017.19	56.24	440.03
13.72	45.09	1012.95	87.41	466.24
26.49	61.86	1012.55	74.24	440.21
8.25	41.26	1020.59	91.84	475.17
12.8	44.9	1007.58	66.6	466.95
17.08	40.12	1012.17	81.5	457.81
31.4	71.06	1008.44	74.77	433.34
8.26	44.71	1020.85	68.82	485.19
21.22	59.15	1014.68	59.71	450.96
26.1	62.91	1012.44	60.91	446.05
19.91	51.19	1008	90.23	449.23
14.56	40.69	1015.48	73.73	469.31
10.22	41.74	1022.65	83.58	479.01
29.12	67.83	1008.05	46.86	432.46
16.97	39.16	1005.7	69.13	458.59
26.19	49.3	1003.69	65.88	440.13
23.65	66.05	1019.6	78.21	442.9
29.53	70.94	1007.22	70.68	432.43
19.69	56.65	1020.84	72.14	455.07
33.71	69.98	1013.09	42.62	431.99
32.14	75.08	1005.35	49.92	439.22
29.28	77.17	1009.4	76.3	433.14
7.01	37.8	1021.47	62.84	483.95
30.47	68.24	1009.55	64.98	427.94
29.13	47.93	1002.5	49.1	435.61
11.86	39.85	1013	66.92	478.29
26.16	52.36	1013.62	58.52	453.08
10.56	39.13	1010.19	87.12	463.14
8.58	40.72	1022.04	87.55	480.96
14.26	40.92	1022.07	73.96	460.38
23.48	73.67	1007.07	88.49	437.19
5.54	45.87	1008.69	95.91	478.02
16.98	43.99	1021.65	81.17	456.07
30.08	67.25	1017.6	53.09	434.01
10.63	39.61	1020	72.42	476.99
30.36	74.87	1008.96	61.87	435.31
29.56	70.4	1006.49	82.95	432.85
19.94	56.53	1020.48	76.43	453.8
27.55	64.96	999.73	57.34	431.33
31.44	79.74	1006.95	56.99	431.69
25.35	74.33	1015.29	77.84	435.66
4.11	38.44	1015.9	81.79	488.05
30.59	70.04	1010.28	50.56	429.13
14.04	48.79	1017.62	75.25	464.09
15.47	44.9	1021.59	81.74	465.61
8.67	40.77	1011.81	89.4	479.23
10.53	37.5	1008.55	99.91	472.32
7.99	41.38	1021.95	78.77	487.57
22.29	45.01	1012.4	51.58	449.08
9.06	36.3	1015.14	58.71	477.38
10.05	37.14	1012.64	75.97	474.16
20.07	49.21	1012.34	56.8	454.25
30.65	71.98	1004.92	63.39	429.85
14.38	40.73	1017.48	90.64	462.98
27.76	71.97	1008.53	86.97	434.04
16.7	40.56	1019.04	50.9	470.84
5.35	35.57	1027.12	80.81	488.65
11.57	41.38	1021.71	61.49	473.94
30.57	73.03	1013.75	73.68	437.42
16	40.66	1016.12	89.23	457.12
15.6	41.04	1025.48	64.43	457.49
22.12	47.93	1005.5	84.47	443.41
21.33	58.46	1016.17	79.73	445.27
23.65	59.92	1010.19	89.53	436.74
6.8	39.37	1020.24	73.29	487.33
31.35	71.32	1005.99	62.35	434.43
23.99	68.12	1012.92	70.68	437.14
26.53	54.2	1012.9	66.73	439.96
31.59	62.7	1009.3	50.16	442.58
24.06	69.94	1005.47	60.46	436.88
27.28	44.89	1009.02	49.9	441.94
23.69	71.97	1009.62	93.03	438.62
11.46	39.1	1010.17	100.15	470.55
22.61	49.3	1003.51	83.02	441.76
21.84	45.09	1013.94	46.11	450.88
9.2	39.82	1013.19	91.25	482.89
17.75	49.25	1020.86	63.67	454.41
7.53	43.65	1018.58	64.85	479.15
16.76	45.09	1014.28	57.71	458.67
22.69	65.12	1016.35	72.02	446.91
11.91	44.45	1021.39	84.49	466.52
26.63	61.47	1008.18	69	444.16
6.72	39.85	1011.84	84.66	489.09
9.44	43.99	1020.31	98.06	475.01
18.32	45	1022.67	46.38	471.43
18.31	62.1	1020.38	79.02	455.24
26.57	44.57	1007.76	50.39	445.49
34.33	69.05	1000.89	37.9	430.56
14.85	40.8	1025.38	53.29	471.78
29.33	64.84	1010.76	53.32	443.15
8.77	40.46	1019.68	77.84	475
11.35	38.91	1017.93	83.45	474.22
21.38	44.05	1005.69	81.66	445.71
4.88	40.27	1012.66	74.51	491.29
26.66	64.27	1012.83	58.88	437.87
13.04	45.09	1013	87.68	467.44
29.47	71.32	1008.07	67	437.14
18.91	56.9	1006.98	84.07	448.24
24.86	44.05	1005.69	66.65	447.2
9.42	41.4	1029.6	87.43	478.12
12.75	42.34	1018.17	94.67	465.44
21.32	49.02	1008.81	85.81	445.65
24.26	67.69	1008.48	66.74	437.4
20.01	43.77	1012.13	65.53	455.66
21.35	59.04	1012.28	95.71	445.83
17.43	63.09	1019.87	92.77	449.36
27.86	65.18	1012.87	55.53	436.26
20.74	59.8	1015.46	76.39	452.99
27.73	67.69	1007.47	59.42	431.72
9.53	41.44	1018.01	80.09	481.83
28.5	79.74	1006.75	87.09	433.08
21.39	52.3	1009.2	79.77	446.87
14.54	46.18	1015.29	94.48	463.03
28.01	65.34	1014.68	46.86	440.77
30.51	70.94	1007.64	59.42	430.91
21.63	60.84	1018.16	77.53	445.93
26.39	71.25	999.8	89.12	430.34
13.84	41.26	1020.92	74.74	462.46
17.27	43.52	1021.37	76.73	460.08
21.89	58.05	1011.31	85.71	441.76
24.02	64.63	1020.49	55.17	449.66
31.92	75.33	1001.81	61.97	436.38
12.97	49.83	1008.69	91.49	452.07
15.89	43.96	1014.02	75.24	467.35
9.25	41.26	1020.51	91.21	473.87
15.99	43.5	1021.34	73.22	460.7
9.06	39.66	1019.64	76.98	479.53
14.48	44.06	1018.73	75.88	467.46
27.15	59.21	1013.49	51.71	440.27
21.68	64.15	1021.09	70.88	454.32
28.16	61.47	1009.19	62.53	442.48
34.33	74.34	1001.74	42.75	435.76
31.98	64.05	1010.49	58.01	439.56
15.21	43.56	1012.92	56.61	467
13.56	42.34	1017.95	93.83	462.6
10.32	42.02	998.27	99.12	472.16
22.46	58.49	1011.5	70.54	448.46
29.3	68.08	1011.23	56.23	434.11
22.3	44.57	1008.48	67.58	449.74
21.91	70.32	1009.17	90.57	439.29
10.95	43.8	1022.61	63.46	473.2
24.96	68.12	1011.27	70.22	437.62
5.91	39.33	1010.18	95.53	491.49
5.25	40.07	1019.48	67.7	495.23
21.47	60.93	1006.46	87.83	442.75
10.16	39.3	1019.71	81.21	480.74
17.29	44.06	1016.24	77.56	461.38
17.46	40.22	1006.7	91.96	461.74
11.56	40.43	1025.48	74.75	489.54
7.51	41.01	1024.61	97.41	477.61
17.08	38.58	1015.41	73.42	461.49
9.27	42.02	1004.29	95.05	474.93
21.3	48.92	1010.92	65.09	447.89
8.51	40.81	1015.54	83.16	481.02
12.77	41.5	1014.13	86.8	470.68
25.04	65.48	1017.66	57.08	440.92
21.83	41.1	1001.91	41.79	453.38
15.92	41.79	1006.24	79.42	458.68
29.97	69.14	1007.92	66.74	433.82
9.8	41.82	1032.98	67.55	473.72
9.01	38.56	1016.67	63.61	482.37
24.71	61.9	1013.78	85.82	443.39
20.57	63.78	1016.76	74	449.93
24.32	65.48	1017.55	59.02	443.31
21.41	50.32	1008.61	84.47	443.63
27.09	59.15	1013.02	55.18	438.9
23.49	47.45	1008.46	66.18	446.72
20	63.31	1017.06	63.1	449.68
13.4	41.58	1020.5	71.17	461.54
23.6	60.08	1017.51	63.02	451.97
21.03	70.02	1010.21	95.69	444.53
5.15	45.87	1008.02	98.36	479.61
17.16	58.86	1016.4	86.39	453.76
24.59	71.94	1006.89	88.52	430.28
23.05	65.94	1010.99	69.73	442.39
10.48	37.5	1009.81	95.26	474.57
15.72	43.02	1011.98	45.74	466.33
25.56	70.32	1009.07	90.63	433.72
13.78	41.16	1021.65	75.77	460.44
29.35	69.04	1008.55	61.78	445.04
32.09	79.74	1006.92	61.5	432.85
25.16	77.3	1000.73	86.4	439.37
14.63	40	1018.03	63.4	457.09
5.7	40.35	1012.18	91.57	488.8
28.15	74.9	1003.67	76.32	433.63
22.3	57.19	1006.4	75.28	445.1
27.71	72.99	1007.18	72.68	433.01
23.09	45.01	1012.25	43.95	453.45
19.66	42.18	1001.51	95.75	454.46
10.02	52.75	1021.93	73.68	473.09
23.97	68.67	1006.63	76.83	441.53
7.82	38.91	1015.58	90.11	479.15
30.21	69.4	1003.69	62.89	438.18
24.12	62.44	1013.83	88.02	443.3
21.05	63.09	1016.49	91.23	447.45
13.93	40.24	1017.88	88.35	469.25
9.68	41.06	1022.75	87.44	476.67
17.48	49.39	1021.51	84.53	460.01
28.76	66.56	1006.07	62.41	432.3
19.21	53.16	1013.18	81.64	454.01
25.63	72.99	1008.2	86.8	436.64
20.36	66.05	1015.86	87.19	450.23
15.34	40.73	1018.03	86.19	458.55
9.55	40.72	1023.12	68.06	481.08
13.45	41.16	1022.04	82.96	460.57
10.8	39.58	1011.99	87.54	478.24
28.15	72.99	1007.62	70.03	431.83
15.42	40.56	1021.23	59.37	469.33
33.6	74.33	1012.31	35.66	428.62
30.92	78.05	1011	59.62	434.12
25.24	57.17	1010.44	74	442.77
13.6	41.2	1015.92	85.05	467.42
18.68	46	1002.2	97.17	447.8
22.43	69.84	1006.94	75.54	436.19
23.37	70.94	1008.01	81.28	441.56
19.62	43.56	1012.89	37.6	463.33
14.35	39.39	1012.92	82.41	470.53
24.88	63.91	1009.41	77.75	447.28
20.67	63.56	1013.27	79.39	450.7
34.11	73.56	1006.77	45.92	432.78
19.15	44.89	1009.6	74.52	451.09
24.96	70.47	1007.73	76.48	438.23
18.86	42.18	1001.16	98.58	457.07
25.1	60.37	1005.83	72.53	438.44
10.15	43.41	1018.4	82.07	473.43
26.53	65.18	1012.77	64.37	437.39
26.05	46.21	1011.31	55.25	450.86
25.45	74.33	1015.53	80.95	435.12
8.14	39.96	1023.41	88.86	477.05
31.95	67.17	1007.11	61.58	432.6
30.8	73.56	1007.39	75.78	432.43
7.69	43.02	1014.51	85.23	486.46
15.3	43.67	1011.75	95.31	468.14
27.12	70.32	1009.94	52.67	429.08
25.76	74.87	1010.18	65.15	443.7
10.28	39.64	1010.45	74.15	477.65
30.91	79.74	1006.92	56.32	433.84
24.22	61.86	1013.39	80.11	442.65
5.67	45.87	1008.91	93.29	478.44
22.96	68.61	1011.15	76.62	447.18
24.54	65.46	1014.27	40.77	446.26
11.32	36.18	1015.03	64.68	472.67
15.15	53.82	1016.34	62.59	461.6
23.53	50.05	1005.63	78.4	443.71
29.08	66.54	1004.67	64.5	430.16
20.42	60.77	1017.65	87.07	447.85
